"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
238.000000, -71.579269, -110.839905, 0.000000, 0.000000, -80.186554, -13.044949, -142.001877, 47.693577
239.000000, -108.590652, -99.767029, 0.000000, 0.000000, -80.492790, -9.600425, -145.234619, 46.588997
240.000000, -135.189468, -84.556801, 0.000000, 0.000000, -82.187874, -21.280025, -139.895538, 43.088703
241.000000, -104.261368, -104.317299, 0.000000, 0.000000, -81.208046, -16.025150, -137.488907, 45.720623
242.000000, -127.929779, -88.316193, 0.000000, 0.000000, -68.968094, -12.304943, -148.950775, 46.012123
243.000000, -114.456764, -82.388809, 0.000000, 0.000000, -83.071159, -15.464999, -139.378387, 44.902775
244.000000, -130.246811, -88.843544, 0.000000, 0.000000, -76.887337, -10.444367, -137.925064, 42.338093
245.000000, -95.483147, -105.599655, 0.000000, 0.000000, -79.563850, -9.617687, -140.579163, 46.266876
246.000000, -76.349892, -118.656723, 0.000000, 0.000000, -81.546707, -11.749885, -140.002686, 46.810139
247.000000, -101.057945, -113.746178, 0.000000, 0.000000, -93.028351, -7.530514, -129.226761, 45.873734
248.000000, -113.299599, -109.653442, 0.000000, 0.000000, -79.099136, -11.384663, -141.869186, 42.928871
